饊	馓
顙	颡
喪	丧
騷	骚
繅	缫
鰠	鳋
掃	扫
澀	涩
嗇	啬
銫	铯
穡	穑
殺	杀
紗	纱
鎩	铩
鯊	鲨
篩	筛
曬	晒
刪	删
姍	姗
釤	钐
閃	闪
陝	陕
訕	讪
騸	骟
繕	缮
贍	赡
鱔	鳝
傷	伤
殤	殇
觴	觞
賞	赏
緔	绱
燒	烧
紹	绍
賒	赊
捨	舍
厙	厍
設	设
懾	慑
攝	摄
灄	滠
紳	绅
詵	诜
審	审
讅	审
諗	谂
嬸	婶
瀋	渖
腎	肾
滲	渗
聲	声
勝	胜
澠	渑
繩	绳
聖	圣
屍	尸
師	师
詩	诗
獅	狮
濕	湿
釃	酾
鯴	鲺
時	时
識	识
實	实
蝕	蚀
塒	埘
蒔	莳
鰣	鲥
駛	驶
勢	势
視	视
試	试
飾	饰
貰	贳
適	适
軾	轼
鈰	铈
諡	谥
謚	谥
釋	释
壽	寿
獸	兽
綬	绶
書	书
紓	纾
樞	枢
攄	摅
輸	输
贖	赎
術	术
樹	树
竪	竖
豎	竖
數	数
帥	帅
閂	闩
雙	双
誰	谁
稅	税
順	顺
說	说
説	说
爍	烁
鑠	铄
碩	硕
絲	丝
噝	咝
鷥	鸶
緦	缌
螄	蛳
廝	厮
鍶	锶
飼	饲
駟	驷
鬆	松
慫	怂
聳	耸
訟	讼
誦	诵
頌	颂
蒐	搜
餿	馊
颼	飕
鎪	锼
擻	擞
藪	薮
蘇	苏
穌	稣
訴	诉
肅	肃
謖	谡
雖	虽
綏	绥
隨	随
嵗	岁
歲	岁
誶	谇
孫	孙
猻	狲
蓀	荪
損	损
筍	笋
縮	缩
嗩	唢
瑣	琐
鎖	锁
鉈	铊
獺	獭
鰨	鳎
撻	挞
闥	闼
駘	骀
臺	台
颱	台
檯	台
鮐	鲐
態	态
鈦	钛
貪	贪
攤	摊
灘	滩
癱	瘫
壇	坛
罈	坛
罎	坛
曇	昙
談	谈
錟	锬
譚	谭
鉭	钽
嘆	叹
歎	叹
賧	赕
湯	汤
鐋	铴
鏜	镗
餳	饧
儻	傥
燙	烫
濤	涛
絛	绦
縧	绦
韜	韬
鞀	鼗
討	讨
鋱	铽
騰	腾
謄	誊
銻	锑
綈	绨
緹	缇
鵜	鹈
題	题
體	体
屜	屉
薙	剃
闐	阗
條	条
齠	龆
鰷	鲦
糶	粜
銚	铫
貼	贴
鐵	铁
廳	厅
聽	听
烴	烃
鋌	铤
衕	同
銅	铜
統	统
慟	恸
頭	头
禿	秃
圖	图
凃	涂
塗	涂
釷	钍
團	团
摶	抟
頹	颓
頽	颓
蛻	蜕
飩	饨
託	托
脫	脱
馱	驮
駝	驼
鴕	鸵
鼉	鼍
橢	椭
籜	箨
窪	洼
媧	娲
襪	袜
膃	腽
彎	弯
灣	湾
紈	纨
頑	顽
輓	挽
綰	绾
萬	万
網	网
輞	辋
為	为
爲	为
韋	韦
圍	围
幃	帏
溈	沩
潙	沩
違	违
闈	闱
潿	涠
維	维
濰	潍
偉	伟
偽	伪
僞	伪
緯	纬
葦	苇
煒	炜
瑋	玮
諉	诿
韙	韪
鮪	鲔
衛	卫
謂	谓
蝟	猬
溫	温
紋	纹
聞	闻
閿	阌
穩	稳
問	问
撾	挝
渦	涡
萵	莴
窩	窝
蝸	蜗
齷	龌
烏	乌
鄔	邬
嗚	呜
誣	诬
鎢	钨
無	无
吳	吴
蕪	芜
塢	坞
嫵	妩
廡	庑
憮	怃
鵡	鹉
務	务
誤	误
騖	骛
霧	雾
鶩	鹜
誒	诶
犧	牺
錫	锡
習	习
襲	袭
覡	觋
璽	玺
銑	铣
戯	戏
戲	戏
繫	系
係	系
餼	饩
細	细
鬩	阋
蝦	虾
俠	侠
峽	峡
狹	狭
硤	硖
轄	辖
嚇	吓
廈	厦
縴	纤
纖	纤
秈	籼
薟	莶
躚	跹
鍁	锨
鮮	鲜
閑	闲
賢	贤
鹹	咸
嫻	娴
銜	衔
癇	痫
鷳	鹇
鷴	鹇
顯	显
險	险
獫	猃
蜆	蚬
蘚	藓
縣	县
峴	岘
莧	苋
現	现
綫	线
線	线
憲	宪
餡	馅
獻	献
鄉	乡
薌	芗
廂	厢
緗	缃
驤	骧
鑲	镶
詳	详
響	响
餉	饷
饗	飨
鯗	鲞
曏	向
項	项
梟	枭
嘵	哓
驍	骁
綃	绡
蕭	萧
銷	销
瀟	潇
簫	箫
囂	嚣
曉	晓
嘯	啸
協	协
脅	胁
挾	挟
諧	谐
攜	携
擷	撷
纈	缬
寫	写
瀉	泻
紲	绁
絏	绁
褻	亵
謝	谢
訢	欣
鋅	锌
釁	衅
興	兴
陘	陉
洶	汹
鵂	鸺
饈	馐
綉	绣
銹	锈
須	须
鬚	须
頊	顼
虛	虚
噓	嘘
許	许
詡	诩
敘	叙
緒	绪
續	续
漵	溆
軒	轩
諼	谖
懸	悬
鏇	旋
選	选
癬	癣
絢	绚
鉉	铉
學	学
澩	泶
鱈	鳕
謔	谑
勛	勋
塤	埙
尋	寻
馴	驯
詢	询
潯	浔
鱘	鲟
訓	训
訊	讯
遜	逊
壓	压
鴉	鸦
鵶	鸦
椏	桠
鴨	鸭
啞	哑
瘂	痖
亞	亚
訝	讶
埡	垭
婭	娅
氬	氩
懨	恹
煙	烟
閹	阉
訁	讠
閆	闫
嚴	严
鹽	盐
