唫	吟
婬	淫
滛	淫
鸎	莺
甖	罂
暎	映
慂	恿
湧	涌
惥	恿
雝	雍
祐	佑
㊨	右
㊒	有
㉅	幼
㊝	优
㈲	有
踰	逾
癒	愈
璵	玙
瘉	愈
慾	欲
欝	郁
庽	寓
蝯	猿
猨	猿
寃	冤
寃	冤
㈪	月
嶽	岳
㊊	月
喒	咱
襍	杂
帀	匝
紥	扎
偺	咱
紮	扎
偺	咱
菑	灾
𠕂	再
𠕅	再
烖	灾
賛	赞
讚	赞
蹔	暂
簮	簪
𦵏	葬
塟	葬
皁	皂
譟	噪
唕	唣
蹧	糟
牐	闸
摣	揸
劄	札
齇	齄
剳	札
搾	榨
牐	闸
亝	斋
琖	盏
醆	盏
氊	毡
霑	沾
佔	占
嶃	崭
麞	獐
炤	照
櫂	棹
淛	浙
輙	辄
摺	折
喆	哲
讁	谪
遉	侦
珎	珍
碪	砧
鍼	针
徴	征
㊣	正
㉇	筝
袟	帙
巵	卮
帋	纸
蹠	跖
寘	置
祑	帙
秖	只
姪	侄
妷	侄
稺	稚
阯	址
㉃	至
穉	稚
袠	帙
値	值
⿋	黹
寘	置
鈡	钟
塚	冢
㊥	中
㆗	中
呪	咒
箒	帚
冑	胄
週	周
㈷	祝
㊑	株
㈱	株
煑	煮
㊗	祝
竚	伫
㊟	注
硃	朱
筯	箸
甎	砖
塼	砖
譔	撰
粧	妆
斵	斫
斮	斫
斲	斫
槕	桌
㉂	自
姉	姊
㈾	资
㊮	资
玆	兹
㊪	宗
騣	鬃
糉	粽
鬉	鬃
椶	棕
縂	总
䘚	卒
鑚	钻
篹	纂
鉆	钻
辠	罪
罇	樽
㊧	左
爄	𤇃
礒	𥐟
𥕥	𥐰
㊙	秘
🈲	禁
徳	德
噁	恶
閤	合
亁	乾
