༳	-1/2
𐋵	300
𐧔	300
𐹴	300
𞲅	300
𞴕	300
𐄜	400
𐋶	400
𐧕	400
𐹵	400
𞲆	400
𞴖	400
𞴸	400
Ⅾ	500
ⅾ	500
𐄝	500
𐅅	500
𐅌	500
𐅓	500
𐅬	500
𐅭	500
𐅮	500
𐅯	500
𐅰	500
𐋷	500
𐧖	500
𐹶	500
𞲇	500
𞴗	500
𐄞	600
𐋸	600
𐧗	600
𐹷	600
𞲈	600
𞴘	600
𞴹	600
𐄟	700
𐋹	700
𐧘	700
𐹸	700
𞲉	700
𞴙	700
𐄠	800
𐋺	800
𐧙	800
𐹹	800
𞲊	800
𞴚	800
𐄡	900
𐋻	900
𐍊	900
𐧚	900
𐹺	900
𞲋	900
𞴛	900
௲	1000
൲	1000
Ⅿ	1000
ⅿ	1000
ↀ	1000
仟	1000
千	1000
阡	1000
𐄢	1000
𐅍	1000
𐅔	1000
𐅱	1000
𐡞	1000
𐧛	1000
𐩇	1000
𐭟	1000
𐭿	1000
𐳿	1000
𑁥	1000
𑇴	1000
𞲌	1000
𞴜	1000
𐄣	2000
𐧜	2000
𞲍	2000
𞴝	2000
𞴺	2000
𐄤	3000
𐧝	3000
𞲎	3000
𞴞	3000
𐄥	4000
𐧞	4000
𞲏	4000
𞴟	4000
ↁ	5000
𐄦	5000
𐅆	5000
𐅎	5000
𐅲	5000
𐧟	5000
𞲐	5000
𞴠	5000
𐄧	6000
𐧠	6000
𞲑	6000
𞴡	6000
𐄨	7000
𐧡	7000
𞲒	7000
𞴢	7000
𐄩	8000
𐧢	8000
𞲓	8000
𞴣	8000
𐄪	9000
𐧣	9000
𞲔	9000
𞴤	9000
፼	10000
ↂ	10000
万	10000
萬	10000
𐄫	10000
𐅕	10000
𐡟	10000
𐧤	10000
𖭝	10000
𞲕	10000
𞲳	10000
𞴥	10000
𞴻	10000
𐄬	20000
𐧥	20000
𞲖	20000
𞴦	20000
𐄭	30000
𐧦	30000
𞲗	30000
𞴧	30000
𐄮	40000
𐧧	40000
𞲘	40000
𞴨	40000
ↇ	50000
𐄯	50000
𐅇	50000
𐅖	50000
𐧨	50000
𞲙	50000
𞴩	50000
𐄰	60000
𐧩	60000
𞲚	60000
𞴪	60000
𐄱	70000
𐧪	70000
𞲛	70000
𞴫	70000
𐄲	80000
𐧫	80000
𞲜	80000
𞴬	80000
𐄳	90000
𐧬	90000
𞲝	90000
𞴭	90000
ↈ	100000
𐧭	100000
𞲞	100000
𞲠	100000
𞲴	100000
𐧮	200000
𞲟	200000
𒐲	216000
𐧯	300000
𐧰	400000
𒐳	432000
𐧱	500000
𐧲	600000
𐧳	700000
𐧴	800000
𐧵	900000
兆	1000000
𖭞	1000000
𞲡	10000000
𞲢	20000000
亿	100000000
億	100000000
𖭟	100000000
秭	1000000000
𖭠	10000000000
𖭡	1000000000000
京	10000000000000000
